Date,Open,High,Low,Close,Volume
06/16/2025,"1,425.05","1,441.90","1,425.00","1,438.55","350,578"
06/13/2025,"1,420.00","1,435.35","1,414.00","1,427.65","313,642"
06/12/2025,"1,452.20","1,456.85","1,434.05","1,439.60","284,782"
06/11/2025,"1,444.90","1,468.00","1,442.80","1,448.75","654,096"
06/10/2025,"1,448.60","1,453.40","1,436.50","1,438.60","481,509"
06/09/2025,"1,454.55","1,456.90","1,445.10","1,448.60","452,344"
06/06/2025,"1,443.65","1,451.35","1,436.75","1,443.55","1,284,697"
06/05/2025,"1,426.95","1,454.50","1,423.40","1,442.65","427,025"
06/04/2025,"1,410.40","1,425.00","1,406.15","1,423.20","312,944"
06/03/2025,"1,419.80","1,427.05","1,403.00","1,405.95","1,503,679"
06/02/2025,"1,415.95","1,417.65","1,395.90","1,414.45","469,571"
05/30/2025,"1,417.80","1,430.75","1,410.00","1,420.80","228,179"
05/29/2025,"1,413.35","1,420.15","1,408.95","1,417.40","309,419"
05/28/2025,"1,421.70","1,422.20","1,410.20","1,411.15","260,943"
05/27/2025,"1,429.15","1,437.30","1,414.00","1,421.75","1,302,990"
05/26/2025,"1,430.40","1,441.20","1,426.05","1,434.15","330,120"
05/23/2025,"1,406.00","1,433.70","1,406.00","1,426.45","386,757"
05/22/2025,"1,420.00","1,422.50","1,397.40","1,409.40","388,189"
05/21/2025,"1,424.95","1,436.10","1,418.35","1,428.90","507,422"
05/20/2025,"1,435.65","1,444.55","1,421.20","1,425.30","670,532"
05/19/2025,"1,454.30","1,454.30","1,438.05","1,441.65","550,729"
05/16/2025,"1,453.75","1,460.20","1,447.60","1,456.60","338,754"
05/15/2025,"1,424.25","1,461.00","1,413.00","1,453.80","479,370"
05/14/2025,"1,418.10","1,429.80","1,415.50","1,424.25","320,533"
05/13/2025,"1,433.20","1,447.35","1,413.00","1,416.20","992,150"
05/12/2025,"1,400.00","1,438.90","1,400.00","1,436.55","792,769"
05/09/2025,"1,372.05","1,395.00","1,372.05","1,377.75","388,444"
05/08/2025,"1,404.95","1,420.50","1,397.05","1,404.85","573,809"
05/07/2025,"1,412.05","1,424.90","1,402.15","1,406.00","262,093"
05/06/2025,"1,432.00","1,432.00","1,410.35","1,420.55","311,563"
05/05/2025,"1,427.00","1,439.75","1,427.00","1,431.10","428,786"
05/02/2025,"1,408.40","1,426.00","1,408.40","1,421.95","3,746,656"
04/30/2025,"1,404.90","1,411.85","1,373.50","1,408.35","3,375,628"
04/29/2025,"1,370.35","1,410.90","1,370.20","1,400.30","6,415,191"
04/28/2025,"1,332.35","1,374.90","1,320.15","1,368.50","1,269,304"
04/25/2025,"1,301.00","1,325.25","1,288.00","1,300.05","1,543,897"
04/24/2025,"1,298.65","1,304.45","1,290.50","1,301.65","281,535"
04/23/2025,"1,295.85","1,305.75","1,285.30","1,299.90","420,698"
04/22/2025,"1,300.00","1,303.00","1,286.50","1,290.95","759,456"
04/21/2025,"1,271.55","1,300.00","1,266.75","1,295.85","729,259"
04/17/2025,"1,238.65","1,279.45","1,227.40","1,274.55","392,500"
04/16/2025,"1,239.85","1,240.90","1,229.05","1,238.65","361,521"
04/15/2025,"1,256.00","1,256.00","1,237.00","1,239.90","719,043"
04/11/2025,"1,200.00","1,222.45","1,197.05","1,219.30","684,519"
04/09/2025,"1,172.40","1,189.50","1,169.10","1,185.60","495,957"
04/08/2025,"1,177.85","1,196.80","1,163.85","1,182.40","894,893"
04/07/2025,"1,125.00","1,171.00","1,115.55","1,166.20","1,433,461"
04/04/2025,"1,240.00","1,245.20","1,192.85","1,204.70","785,059"
04/03/2025,"1,238.95","1,251.20","1,234.55","1,248.60","532,522"
04/02/2025,"1,250.35","1,256.00","1,243.80","1,251.10","243,303"
04/01/2025,"1,274.60","1,277.80","1,250.00","1,252.45","722,008"
03/28/2025,"1,279.30","1,295.70","1,269.05","1,275.00","987,799"
03/27/2025,"1,275.05","1,285.15","1,272.05","1,278.40","278,220"
03/26/2025,"1,290.25","1,293.95","1,269.00","1,272.55","658,347"
03/25/2025,"1,307.00","1,307.00","1,283.00","1,285.40","865,836"
03/24/2025,"1,286.40","1,305.30","1,281.00","1,301.35","861,533"
03/21/2025,"1,270.05","1,284.50","1,270.05","1,276.45","361,299"
03/20/2025,"1,254.20","1,272.80","1,250.00","1,268.55","612,659"
03/19/2025,"1,242.00","1,252.75","1,239.35","1,247.70","295,426"
03/18/2025,"1,243.50","1,248.10","1,234.90","1,238.80","1,740,575"
03/17/2025,"1,247.00","1,257.20","1,233.25","1,240.40","422,823"
03/13/2025,"1,262.90","1,264.00","1,244.00","1,247.40","302,876"
03/12/2025,"1,256.85","1,261.55","1,244.00","1,256.60","426,299"
03/11/2025,"1,238.05","1,249.55","1,230.00","1,247.40","305,952"
03/10/2025,"1,249.10","1,258.00","1,235.50","1,238.20","245,117"
03/07/2025,"1,214.05","1,254.50","1,212.30","1,249.10","794,738"
03/06/2025,"1,201.00","1,214.00","1,185.50","1,210.55","652,420"
03/05/2025,"1,162.00","1,183.05","1,158.00","1,175.75","348,560"
03/04/2025,"1,165.00","1,174.10","1,159.25","1,161.70","286,826"
03/03/2025,"1,209.80","1,209.80","1,156.00","1,171.10","542,446"
02/28/2025,"1,201.00","1,217.40","1,193.30","1,199.60","437,656"
02/27/2025,"1,213.55","1,215.00","1,201.00","1,207.05","193,166"
02/25/2025,"1,213.95","1,221.00","1,201.00","1,203.90","881,729"
02/24/2025,"1,219.40","1,223.00","1,210.60","1,214.75","477,209"
02/21/2025,"1,229.95","1,239.95","1,222.35","1,227.70","907,589"
02/20/2025,"1,226.25","1,239.40","1,223.00","1,233.05","206,262"
02/19/2025,"1,222.75","1,232.80","1,217.60","1,226.95","110,206"
02/18/2025,"1,225.25","1,229.95","1,216.40","1,224.95","206,583"
02/17/2025,"1,215.75","1,227.20","1,205.15","1,224.75","207,944"
02/14/2025,"1,220.00","1,224.30","1,206.00","1,216.95","358,010"
02/13/2025,"1,218.95","1,227.95","1,212.15","1,216.20","360,188"
02/12/2025,"1,219.95","1,227.85","1,193.65","1,215.70","596,942"
02/11/2025,"1,263.05","1,263.40","1,230.00","1,234.60","554,854"
